,ASG002_U251MG_24H:A10,ASG002_U251MG_24H:A11,ASG002_U251MG_24H:A12,ASG002_U251MG_24H:C16,ASG002_U251MG_24H:C17,ASG002_U251MG_24H:C18,ASG002_U251MG_24H:D22,ASG002_U251MG_24H:D23,ASG002_U251MG_24H:D24,ASG002_U251MG_24H:E19,ASG002_U251MG_24H:E20,ASG002_U251MG_24H:E21,ASG002_U251MG_24H:E22,ASG002_U251MG_24H:E23,ASG002_U251MG_24H:E24,ASG002_U251MG_24H:F01,ASG002_U251MG_24H:F02,ASG002_U251MG_24H:F03,ASG002_U251MG_24H:F16,ASG002_U251MG_24H:F17,ASG002_U251MG_24H:F18,ASG002_U251MG_24H:G16,ASG002_U251MG_24H:G17,ASG002_U251MG_24H:G18,ASG002_U251MG_24H:H17,ASG002_U251MG_24H:H18,ASG002_U251MG_24H:J10,ASG002_U251MG_24H:J11,ASG002_U251MG_24H:J12,ASG002_U251MG_24H:J19,ASG002_U251MG_24H:J20,ASG002_U251MG_24H:J21,ASG002_U251MG_24H:K22,ASG002_U251MG_24H:K23,ASG002_U251MG_24H:K24,ASG002_U251MG_24H:L10,ASG002_U251MG_24H:L11,ASG002_U251MG_24H:L12,ASG002_U251MG_24H:L16,ASG002_U251MG_24H:L17,ASG002_U251MG_24H:L18,ASG002_U251MG_24H:M07,ASG002_U251MG_24H:M08,ASG002_U251MG_24H:M09,ASG002_U251MG_24H:M22,ASG002_U251MG_24H:M23,ASG002_U251MG_24H:M24,ASG002_U251MG_24H:O22,ASG002_U251MG_24H:O23,ASG002_U251MG_24H:O24,ASG002_U251MG_24H:P16,ASG002_U251MG_24H:P17,ASG002_U251MG_24H:P18
ACBD3,-0.8620043198267622,-0.1008544365564985,0.0939707358678179,-0.04267934958140085,-0.9493294159571333,-0.1686296860376997,0.3141707976659136,-0.0714793602625532,0.2797708113988238,0.6981706221898394,0.1465210517247515,-0.1992788712183637,0.1944708426793413,-0.4995541969935102,-0.007179299990336396,-0.6391044060389204,0.002270658810933135,-0.4448042313257856,-0.1240792671839399,-0.2930789391199751,-0.1463289658228559,0.417595823605855,0.08094545205434134,0.1339706977208452,0.1939458449681597,-0.07572940985361765,0.5541705687840777,0.217395742734273,0.3398208220799761,-0.04152921835581491,0.1065210898717242,0.3089456160863238,-0.03670410315195749,0.03137060006459524,-0.3692794243494673,1.170220812161763,-0.1254792610804243,0.3312706549962359,-0.1899791161219282,0.215470751126607,-0.1188288132349653,-0.4758792320887251,-0.01080421606699655,0.2588705619176226,-0.3908296028772993,0.3371710379918413,0.1508206923802691,-0.1791792313257856,-0.1122794548670454,-0.1241293350855512,0.5731710990269976,-0.08285431067148874,0.067770441373189
ACD,-0.1965928872426357,-0.08619364102681537,0.452956597010294,0.1903814474741612,0.2564567724863682,0.5101312796274815,0.01450673739115338,-0.1636434396107997,0.04215661684671979,-0.2109437783559169,-0.08174379666646381,-0.104294379552206,0.2950567404429112,-0.4295936425526943,0.07695619265238385,0.07995645205179791,0.3845819632212315,-0.029343207677206,-1.110893805821737,0.1013559500376378,-0.1400934060414638,-1.428868373235067,-0.1013437112172451,-0.2767434914906826,-0.7601438363393154,-0.1428438027699794,-0.07524355252583881,0.3358568350474034,-0.4026437600453701,-0.8783937295277919,-0.1876436074574794,-0.2678438027699794,-0.1892934640248622,0.06255666414896588,0.200881401697794,0.2024559179941807,-0.2175927956899013,-0.1799932320912685,-0.212692817052206,-1.467568476994833,-0.2996440728505458,0.3887056509653721,-0.1810184319814052,-0.5823436578114833,-0.3685937722524013,-0.3049436410268154,-0.1891437371571865,-0.2147432168324794,-1.102543433507284,-0.4552942117055263,-0.4803434213002529,-0.9918685754140224,0.2811559836069737
ACLY,4.684374888737997,-0.1553744475046788,0.07377537091573139,-0.2426242033640538,-0.2221249739329014,-0.1541995207468663,0.3357754548390712,-0.1268252531687413,-0.3728245894114171,0.06484993298848529,-0.3179253737131749,-0.1308249632517491,0.02577503522237201,-0.2981242338816319,-0.09980003039042096,-0.2073001066843663,-0.06442538897196393,-0.02207557360331158,0.1238747437795009,-0.04862491289774518,0.06402500470479389,0.2069750626881923,-0.1745242277781163,0.3101750214894619,-0.03387443224588971,-0.06872550646463971,0.3820248444875087,0.1993752320607509,0.2526751359303798,-0.2405499617258702,-0.2464751402537022,-0.09587470690409283,-0.2258748213450108,-0.1231745878855381,-0.4430998961130772,-0.06237498919169049,0.1809750398000087,-0.01642505327860455,-0.05757514635721783,-0.05292503039042096,0.0143748124440517,0.1107750733693447,0.3304749329884853,0.1060505708058681,-0.7424754301706944,-0.07547465960184674,0.240374644597372,0.2917996247609462,-0.0407246748606358,-0.2898253599802647,0.2885752518971767,0.0007744630177821676,-0.05132476488749127
ACOT9,0.216445406277975,0.5345215400060024,0.5188707907994594,0.2725205024083461,0.3647961219151821,0.6430210669835414,0.4917711814244594,0.6443209250768032,0.3863958915074672,0.6443209250768032,0.6089214881261196,0.2891459067662563,0.5954708655675258,0.524820764859518,0.4240707953770961,0.2403206427892055,0.6118206580479946,0.1172709067662563,0.4087709983189907,0.183145960172018,0.4141201575597133,0.7048458655675258,0.4343208869298305,0.8745207389195766,0.4609703620274868,0.6099705298741664,0.6384710868199672,0.6252216895421352,0.6539215644200649,1.111945589383444,0.5305208762486782,0.6556963523228969,0.3852705558141079,0.8177704413731899,0.004221399625143007,0.8858961661656704,0.7191452582677211,0.6661209662755336,0.5727200110753383,0.5401215155919399,0.5981707175572719,0.2760204871495571,0.7210707267125454,0.8028959830602016,0.6687712272008266,0.8442711432774868,0.8589214881261196,0.7849707206090297,0.532471140225729,0.9000706275304164,1.23902173837026,1.238721330960592,-2.817928830782572
ADAM10,-0.01499160130818744,0.2268582979838047,0.1877586046854649,-0.3505667050679531,0.05960766474405865,0.047758261362711,0.1034585634867344,-0.03136618932088275,0.06190792719523053,-0.3532913525899257,-0.0905922253926601,0.1675082842508946,-0.1688421567281093,-0.232642014821371,-0.01089175542195697,0.2226583162943516,0.03808323542276959,0.06235806147257428,-0.02659114201863666,-0.2136925061543788,0.2446090380350743,0.2115585009256993,-0.004741509755453066,0.2113086382548008,-0.2276409467061367,-0.2547920544942226,-0.2784412701924648,-0.1444919904073085,-0.3359163602193203,0.04670826594034772,-0.1991909344991054,0.1517078081766758,-0.119391282399496,-0.04669173558553119,-0.08219226201375385,-0.4437416394551601,-0.07509120305379291,0.09600845972696881,-0.1023910840352382,0.3115083376566563,4.107957998911539,0.1637336413065587,0.3367082277933751,0.3619586626688633,-0.1449163754781093,0.1891090075174962,0.7994834582010899,0.5377589861551915,0.3041087786356602,0.07115856806437115,0.1452085177103672,0.7676078478495274,-0.01719172795613666
ADAT1,-0.4846704800923662,0.2024041811625166,0.1180040041605634,-0.6784456570943194,-0.4721954663594561,-0.749895890553792,0.5100299517313642,0.181254069010417,0.07390419642130563,0.4676791826883955,0.07837931315104196,-0.2532957394917803,-0.4808209737141924,-0.8081458409627276,0.1604291598002119,0.0792543093363447,0.6201535860697431,0.2914044062296552,0.02665440241495798,0.8415543238321943,-0.01339562733968069,-0.3521459897359209,-0.2260206540425616,-0.08304580052693655,0.7846042315165205,0.4851042429606123,-0.3848956425984698,-0.01504596074422171,0.5364543596903486,-0.118520100911458,0.4161540667215986,-0.1684201558430987,-0.4145205815633135,-0.7090957959492998,-0.1836207707722979,-0.1832459767659502,0.2060543696085615,-0.0451954205830889,0.6861545244852705,0.005904356638590791,0.1016790072123213,-0.2551458676656084,-0.3766954739888506,-0.3157451947530108,0.4104043642679853,0.3472043673197431,-0.6580456097920733,0.07825390497843454,-0.1567958196004229,0.491254011789958,-0.4793709119160967,-0.3786953290303545,-0.4755957921346026
ADGRE5,-0.6124102671941118,0.1631405750910444,0.05943993727366159,-0.006160457928975127,-0.1945101817448931,0.1093390385309858,0.2199895779291792,0.404864589373271,0.11333970228831,-0.2199856837590533,0.1954892079035444,0.2529395023981733,0.09108952681223581,0.3679397503534956,0.2089646259943647,0.1979897419611616,0.2803895870844526,-0.1322357257207232,0.04668931166331003,0.2631900707880659,0.4270394245783491,0.270739833513896,0.01223973433176706,0.1072147289911909,0.1968400875727339,0.004638950030009248,0.6198895374933882,0.3818395535151167,0.2581146160761518,-0.6560103495915728,-0.04001112778981497,0.4853899876276655,-0.02636023362477591,-0.01201029618581106,0.05996445814768503,-0.8199102481206255,-0.4502102931340533,-0.2031104167302447,-0.1755101283391314,0.09201411406199167,-0.1310598452885943,0.01188973585764597,0.02789000670115183,-0.1923601229985552,-0.1966106494267779,0.2673890988032026,0.5402396122614546,-0.02716084321339896,0.1388399998346967,0.05176476637522409,-0.2466103633244829,-0.4574105342229204,-0.2002598841985064
ADGRG1,0.722240050633749,1.391189177831015,1.121339400609335,2.989739974339804,0.8810401757558193,-3.735935608545939,0.864940245946249,0.7949891885121669,1.113589843114218,0.8897891839345302,1.296140273412069,1.121339400609335,0.9039398034413662,-4.44683543841044,0.6905895074208583,0.9608894189198818,1.218289931615194,1.698440154393515,0.9739394982655849,1.107940276463827,1.36898954709371,0.822438796361288,-3.197260300318399,0.8596893151601162,0.9578891595204677,1.514339049657186,2.114940245946249,0.9578891595204677,1.261489470799765,2.871490081151327,0.7497897942860927,-4.064735333124796,1.003539641698202,0.7508893807729091,-3.63071052233378,2.191289504369101,1.420289595921835,1.669339736302694,1.076189597447714,1.137439330418905,1.571340163548788,1.366539557774862,-3.227360645929972,1.181139548619589,0.9004398187001552,1.305439551671347,-4.354435364405314,1.27463968594869,1.032640059789022,1.129140456517538,2.764539321263632,2.895689566930136,2.060889800389608
ADH5,-1.543237288792929,-0.5282378991444912,-0.2332378228505458,-0.4328876336415615,-0.821187575658163,-0.4772868951161708,-0.1685129006703701,-0.09798773129781146,-0.1187873681386318,-0.1432376702626552,0.112162033716837,-0.3845878442128505,-0.01088674863179584,-0.3243375619252529,-0.3168874581654872,-0.836537917455038,0.06758729616800885,-0.062637885411581,-0.01171263058980365,-0.2626376946767177,-0.02903707822163959,0.1617874304453526,-0.2061372598012294,0.1301616827646885,-0.2031379540761318,-0.01061209042867084,-0.1048370202382412,0.1206621328989659,-0.085037787755331,-0.04153784116109271,0.03351251284281354,0.07061235109964947,-0.2159381707509365,-0.002737601598104433,-0.07823808987935443,0.3007129828135167,-0.1395870049794521,-0.02258737881978412,-0.2341628869374599,-0.2869869073232021,-0.1115375359853115,-0.1437126000722255,0.06401292483011822,0.1155628363291417,-0.1299873193105068,-0.0587631066640224,0.01271287600199322,-0.5210872491200771,-0.2122379144032802,-0.2040382226308193,0.5666126410166417,-0.05973776181538959,-0.122487624486288
ADI1,0.04782247543334961,-0.1443524360656738,-0.1044526100158691,-1.233051776885986,-0.8740019798278809,-0.211951732635498,-0.2509026527404785,-0.1063027381896973,-0.1746020317077637,-0.5316014289855957,-0.08175134658813477,-0.2575020790100098,-0.4910769462585449,-0.1068024635314941,-0.1909022331237793,-0.4354519844055176,-0.1415524482727051,-0.2525525093078613,-0.157402515411377,0.04809808731079102,0.0664982795715332,0.1953978538513184,0.244722843170166,0.04474782943725586,0.0664982795715332,0.06159734725952148,-0.6564021110534668,-0.4399018287658691,0.211698055267334,0.5000977516174316,0.4024977684020996,0.204897403717041,-0.004951953887939453,-0.2972016334533691,-0.1944527626037598,-0.3266520500183105,-0.1415524482727051,0.01719808578491211,-0.1671023368835449,-0.03640222549438477,0.01944780349731445,-0.1558518409729004,0.1707978248596191,-0.2248024940490723,-0.07760190963745117,0.3135485649108887,0.4155478477478027,-0.9040021896362305,-0.1944527626037598,-0.06815195083618164,-0.5685029029846191,0.1724982261657715,-0.1336026191711426
